id,smiles,ECR_1DB1,ECR_3KPZ
VDRML1546,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)C2C(O)=C2O)cc1,0.090483742,0.084345428
VDRML15305,OC1CC(CC(O)C1=O)=CC=C1C2CCC(C(CCCC(C(OC)=O)=C)C)C2(CCC1)C,0.081873096,0.000822975
VDRML5893,O(C(C)c1cc(C)c(OCc2cc(CO)c(O)cc2)cc1)c1ccc(cc1C)C(O)(CC)C,0.074081822,8.32E-08
VDRML1549,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)CN2C(O)=C2O)cc1,0.067032005,0.002238445
VDRML7446,FC(F)(F)C(O)(C=CC=C(CC)c1cc(ccc1)CCc1cc(O)c(OCCO)cc1)C(F)(F)F,0.060662823,0.003337327
VDRML13206,OCc1cc(ccc1CO)CCc1cc(ccc1)C(CCC)=CC=CC(O)(C(C)C)C,0.054881165,1.23E-05
VDRML1551,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CO)c1ccc(NC(=O)C=2N(CO)C=2O)cc1,0.116690535,0.172356817
VDRML1311,FC(Cc1ccc(OC(COO)C)cc1)(C(O)COCc1cc(ccc1)C(CC)=CC)C,0.044932896,7.66E-15
VDRML962,O1Cc2c(cc(cc2)COc2ccc(cc2C)Cc2ccc(cc2CCC)C(CC)(CC)C)C1O,0.040656966,1.13E-11
VDRML2725,FC(F)(F)c1ccc(cc1CCc1cc(C)c(OCO)cc1)C(CCCC(O)C(F)(F)F)CC,0.064041123,0.081873077
VDRML20150,FC(O)(O)C(C=CC=C(CC)c1cc(OCc2ccc(cc2CO)CO)ccc1)(CO)C,0.033287108,4.94E-39
VDRML1310,FC(Cc1ccc(OC(COO)C)cc1)(C(O)COc1ccc(cc1C)C(CC)=CC)C,0.030119421,0.006081006
VDRML6796,FC(C(O)COCc1cc(ccc1)C(CC)(CC)c1ccc(OC(CCO)CO)cc1)(C)C,0.027253179,3.36E-06
VDRML10738,O(C(CCC(O)c1cc(C)c(OCC(O)C(C)(C)C)cc1)CO)c1ccc(cc1C)C(O)CO,0.027997023,0.027253179
VDRML10471,O(Cc1cc(CO)c(cc1)CO)c1cc(C(CCCC)=CC=C(C(O)(CC)C)C)c(cc1)CC,0.022313016,1.05E-136
VDRML4405,Oc1c(-c2nc(O)c(O)cc2)c(O)ccc1-c1ccccc1C(=O)C,0.020189652,5.68E-15
VDRML5671,FC(F)(F)C(O)(C=CCC(CC)c1cc(ccc1)CCC(O)c1cc(C)c(OCO)cc1)C(F)(F)F,0.051557828,9.19E-08
VDRML5220,Clc1c(cccc1OCc1cc(CO)c(cc1)CO)C(CC)=CC(CC(O)(C(F)(F)F)C(F)(F)F)=C,0.01876697,0.140142272
VDRML6594,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(cc1)CCNC(O)=O,0.014956862,5.78E-22
VDRML1544,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)CC(O)CO)cc1,0.013533531,0.044932896
VDRML13066,FC(F)(F)C(O)(C=CC=Cc1cc(ccc1)C(CC)(CC)c1cc(C)c(OCCO)cc1)C(F)(F)F,0.012248134,6.77E-06
VDRML13185,O(CC(O)C(C)(C)C)c1ccc(OC(COc2ccc(cc2C)C(O)(CC)CO)CO)cc1C,0.011080316,0.000909528
VDRML11786,FC(F)(F)C(O)(CC(C(CCO)c1cc(ccc1)CCc1cc(C)c(OCO)cc1)C)C(F)(F)F,0.010025884,3.05E-07
VDRML11794,FC(F)(F)C(C(O)Cc1cc(ccc1)C(C)c1cc(C)c(OC(CCO)CO)cc1)(CC)C(F)(F)F,0.009071795,2.94E-31
VDRML17921,FC(C(O)(C(O)C)C=CC=C(CCC)c1cc(OCc2cc(CO)c(cc2)CO)ccc1)CC,0.0082085,2.48E-120
VDRML11222,O(C(C)c1cc(C)c(OCC(CCO)CO)cc1)c1ccc(cc1C)C(O)(CC)C,0.007427358,3.12E-16
VDRML5777,O(CC(O)C(C)(C)C)c1ccc(cc1)C(CC)(CC)c1cc(C)c(cc1)COCCC(O)CO,0.006720551,0.00407622
VDRML8575,O=C1C(=CC1=C(O)C=CC=C1C2CCC(C(CCCCOCC)C)C2(CCC1)C)C,0.006081006,4.40E-32
VDRML10436,O(Cc1ccccc1)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OC(CCO)CO)cc1,0.005502322,1.88E-51
VDRML3285,FC(F)(F)C(O)(C=CC=C(CC)c1cc(ccc1)CNc1cc(CO)c(OC)cc1)C(F)(F)F,0.004978707,4.20E-15
VDRML1540,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)C(O)O)cc1,0.006556134,0.054881349
VDRML1550,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)C=2N(CO)C=2O)cc1,0.016321863,0.002362039
VDRML12442,FCc1cc(ccc1OCC(O)C(C)(C)C)C(CC)(CC)c1cc(C)c(OCC(O)CCCO)cc1,0.011115675,4.44E-36
VDRML22350,FC(F)(F)C(O)(C=CC(=C(C)c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C)C(F)(F)F,0.048270224,1.02E-07
VDRML12495,O(C(CCO)CO)c1ccc(cc1C)COc1cc(ccc1)-c1ccc(cc1C)C(CC)(C)C,0.003019738,6.24E-168
